model_version,generated_at,game_id,game_date,game_time,game_datetime_utc,status,game_number,doubleheader,venue,away_team,away_team_name,home_team,home_team_name,away_record,home_record,away_pitcher_id,away_pitcher,home_pitcher_id,home_pitcher,away_pitcher_source,home_pitcher_source,best_market,recommendation,market_type,selected_side,market_line,market_price,market_moneyline,fair_line,fair_moneyline,model_probability,model_win_prob,edge,edge_pct,expected_roi_pct,kelly_units,ai_score,tier,data_quality,model_agreement,market_source,away_moneyline,home_moneyline,away_fair_moneyline,home_fair_moneyline,away_win_probability,home_win_probability,away_ml_edge,home_ml_edge,away_run_line,home_run_line,away_run_line_odds,home_run_line_odds,away_run_line_probability,home_run_line_probability,run_line,run_line_probability,market_total,projected_total,over_probability,under_probability,total_push_probability,over_edge,under_edge,away_projected_runs,home_projected_runs,expected_margin,extra_innings_probability,most_common_scores,f5_away_runs,f5_home_runs,f5_total,f5_home_probability,f5_away_probability,f5_probability,f5_over_probability,f5_under_probability,temperature,humidity,wind_speed,wind_direction,carry_effect_ft,weather_run_effect,roof,park_factor,weather_source,away_offense_rating,home_offense_rating,away_pitching_rating,home_pitching_rating,away_bullpen_rating,home_bullpen_rating,away_defense_rating,home_defense_rating,away_travel_rating,home_travel_rating,away_sp_era,home_sp_era,away_sp_xera,home_sp_xera,away_sp_whip,home_sp_whip,away_sp_k_pct,home_sp_k_pct,away_sp_bb_pct,home_sp_bb_pct,away_sp_hr9,home_sp_hr9,away_runs_per_game,home_runs_per_game,away_ops,home_ops,away_wrc_plus,home_wrc_plus,away_barrel_pct,home_barrel_pct,away_hard_hit_pct,home_hard_hit_pct,away_last5_rpg,home_last5_rpg,away_last10_rpg,home_last10_rpg,away_last15_rpg,home_last15_rpg,away_last10,home_last10,away_run_diff_l10,home_run_diff_l10,v5_probability,v6_probability,v7_probability,consensus_probability,public_tickets_pct,public_money_pct,sharp_signal,line_history,model_reasons,away_trends,home_trends
TEAM_LINES_V1,2026-08-02T14:11:26-07:00,824323,2026-08-02,12:10 PM,2026-08-02T19:10:00Z,In Progress,1,N,Coors Field,KC,Kansas City Royals,COL,Colorado Rockies,46-66,44-67,607625,Seth Lugo,607536,Kyle Freeland,MLB_PROBABLE_PITCHER,MLB_PROBABLE_PITCHER,OVER 8.5,OVER 8.5,TOTAL,OVER,8.5,-110,-110,8.5,8.5,88.894,34.798,38.894,38.894,69.7067,5.0,99.0,STRONG,92.1429,92.1982,MODEL_FALLBACK,-110,-110,-187,187,65.202,34.798,15.202,-15.202,1.5,-1.5,-130,110,49.808,21.406,-1.5,21.406,8.5,12.9941,88.894,11.106,0.0,38.894,-38.894,7.2519,5.7422,-1.5097,9.678,5-7:2.5%|5-6:2.4%|6-7:2.4%|6-6:2.3%|5-8:2.2%,4.188,3.1391,4.5,28.098,57.706,57.706,85.482,14.518,72.0,50.0,0.0,Neutral,0.0,0.0,Unknown,116,PARK_ONLY_FALLBACK,52.9867,73.4635,65.554,45.0,66.416,63.3099,83.2549,73.4304,80.0,80.0,4.41,6.94,4.3272,5.9257,1.39,1.5,18.0657,19.2469,8.2117,4.8117,1.0492,1.7774,4.1239,4.7321,0.711,0.743,100.26,108.58,8.2742,8.6027,37.3272,37.8904,3.2,5.0,3.3,4.6,3.6667,4.4667,4-6,4-6,-5,-15,32.3315,36.1457,34.0257,34.1676,,,UNAVAILABLE,-110|-110|-110|-110|8,Starting pitcher edge|Better recent run differential|Meaningful model-to-market edge,4-6 last 10|-5 run differential|4.1 runs/game,4-6 last 10|-15 run differential|4.7 runs/game
TEAM_LINES_V1,2026-08-02T14:11:27-07:00,824971,2026-08-02,1:05 PM,2026-08-02T20:05:00Z,In Progress,1,N,Sutter Health Park,DET,Detroit Tigers,OAK,Athletics,53-58,45-66,672456,Keider Montero,695611,Gage Jump,MLB_PROBABLE_PITCHER,MLB_PROBABLE_PITCHER,DET MONEYLINE,DET MONEYLINE,ML,DET,-110.0,-110,-110,-253.0,-253.0,71.704,28.296,21.704,21.704,36.8895,5.0,99.0,STRONG,92.1429,82.786,MODEL_FALLBACK,-110,-110,-253,253,71.704,28.296,21.704,-21.704,1.5,-1.5,-130,110,54.16,14.306,-1.5,14.306,8.5,9.0082,54.57,45.43,0.0,4.57,-4.57,5.4408,3.5674,-1.8734,10.782,3-5:3.7%|3-4:3.4%|3-6:3.3%|4-5:3.3%|2-5:3.1%,2.9296,1.8435,4.5,23.098,60.384,60.384,52.062,47.938,72.0,50.0,0.0,Neutral,0.0,0.0,Unknown,96,PARK_ONLY_FALLBACK,95.0,59.8307,85.4887,71.0398,75.6172,64.4281,83.3679,83.4125,80.0,80.0,3.26,4.07,3.4593,3.9295,1.01,1.45,17.3626,25.2632,5.2747,10.5263,0.8735,0.9497,4.4107,4.3482,0.726,0.723,104.16,103.38,8.6804,8.3993,38.0235,37.5416,9.8,3.4,6.6,3.4,5.8,4.3333,6-4,2-8,28,-31,26.5621,20.6491,18.3984,21.8699,,,UNAVAILABLE,-110|-110|-110|-110|-253,Starting pitcher edge|Bullpen advantage|Stronger offensive profile|Better recent run differential|Higher team OPS|Better adjusted run creation|Meaningful model-to-market edge,6-4 last 10|+28 run differential|4.4 runs/game,2-8 last 10|-31 run differential|4.3 runs/game
TEAM_LINES_V1,2026-08-02T14:11:27-07:00,823996,2026-08-02,12:15 PM,2026-08-02T19:15:00Z,In Progress,1,N,Angel Stadium,MIL,Milwaukee Brewers,LAA,Los Angeles Angels,69-41,42-69,694819,Jacob Misiorowski,700712,Walbert Ureña,MLB_PROBABLE_PITCHER,MLB_PROBABLE_PITCHER,UNDER 8.5,UNDER 8.5,TOTAL,UNDER,8.5,-110,-110,8.5,8.5,71.354,41.522,21.354,21.354,36.2213,5.0,99.0,STRONG,92.1429,94.284,MODEL_FALLBACK,-110,-110,-141,141,58.478,41.522,8.478,-8.478,1.5,-1.5,-130,110,37.448,21.718,-1.5,21.718,8.5,6.9459,28.646,71.354,0.0,-21.354,21.354,3.7859,3.16,-0.6259,14.344,3-3:4.6%|2-3:4.3%|3-4:4.3%|2-4:4.1%|3-2:3.6%,1.9476,1.5737,4.5,31.334,46.576,46.576,27.592,72.408,72.0,50.0,0.0,Neutral,0.0,0.0,Unknown,99,PARK_ONLY_FALLBACK,73.5417,45.0,98.0,87.05,78.0305,69.4504,85.2378,75.4089,80.0,80.0,1.63,2.54,1.8,3.0363,0.73,1.25,40.625,22.4586,6.0417,12.2931,0.7795,0.5436,5.0,4.1696,0.736,0.694,106.76,95.84,8.0735,8.0598,36.9832,36.9597,4.0,2.6,4.5,3.0,4.7333,2.6,6-4,2-8,2,-16,40.208,37.4078,38.8295,38.8151,,,UNAVAILABLE,-110|-110|-110|-110|8,Starting pitcher edge|Bullpen advantage|Stronger offensive profile|Better recent run differential|Higher team OPS|Better adjusted run creation|Meaningful model-to-market edge,6-4 last 10|+2 run differential|5.0 runs/game,2-8 last 10|-16 run differential|4.2 runs/game
TEAM_LINES_V1,2026-08-02T14:11:26-07:00,823592,2026-08-02,10:40 AM,2026-08-02T17:40:00Z,Final,1,N,Citi Field,MIA,Miami Marlins,NYM,New York Mets,58-55,47-66,645261,Sandy Alcantara,476594,Robert Stock,MLB_PROBABLE_PITCHER,MLB_PROBABLE_PITCHER,UNDER 8.5,UNDER 8.5,TOTAL,UNDER,8.5,-110,-110,8.5,8.5,69.806,57.9,19.806,19.806,33.266,5.0,99.0,STRONG,92.1429,95.9584,MODEL_FALLBACK,-110,-110,138,-138,42.1,57.9,-7.9,7.9,1.5,-1.5,-130,110,23.14,36.518,-1.5,36.518,8.5,7.0825,30.194,69.806,0.0,-19.806,19.806,3.2665,3.816,0.5494,13.922,3-3:4.5%|4-3:4.3%|3-2:4.1%|4-2:4.0%|3-4:3.7%,1.7043,2.0171,4.5,45.834,32.812,45.834,31.488,68.512,72.0,50.0,0.0,Neutral,0.0,0.0,Unknown,97,PARK_ONLY_FALLBACK,61.1726,51.3643,77.6068,82.1633,73.0085,72.9577,73.4142,71.4814,80.0,80.0,3.68,1.8,3.7627,2.88,1.2,0.6,18.49,22.2222,6.3174,0.0,0.9766,1.8,4.3894,4.0442,0.732,0.683,105.72,92.98,8.3881,8.1246,37.5224,37.0707,4.4,2.2,3.9,3.8,3.6667,3.6667,5-5,4-6,-3,8,58.4468,57.6892,59.6522,58.596,,,UNAVAILABLE,-110|-110|-110|-110|8,Stronger offensive profile|Higher team OPS|Better adjusted run creation|Meaningful model-to-market edge,5-5 last 10|-3 run differential|4.4 runs/game,4-6 last 10|+8 run differential|4.0 runs/game
TEAM_LINES_V1,2026-08-02T14:11:26-07:00,822943,2026-08-02,10:40 AM,2026-08-02T17:40:00Z,Final,1,N,Tropicana Field,CWS,Chicago White Sox,TB,Tampa Bay Rays,59-52,65-46,641743,Anthony Kay,643377,Griffin Jax,MLB_PROBABLE_PITCHER,MLB_PROBABLE_PITCHER,UNDER 8.5,UNDER 8.5,TOTAL,UNDER,8.5,-110,-110,8.5,8.5,65.078,55.186,15.078,15.078,24.2398,5.0,99.0,STRONG,92.1429,94.2493,MODEL_FALLBACK,-110,-110,123,-123,44.814,55.186,-5.186,5.186,1.5,-1.5,-130,110,25.502,34.162,-1.5,34.162,8.5,7.445,34.922,65.078,0.0,-15.078,15.078,3.5341,3.9109,0.3768,13.866,3-3:4.3%|4-3:4.2%|3-4:3.8%|4-4:3.7%|3-2:3.6%,1.8636,2.1201,4.5,44.818,34.684,44.818,36.726,63.274,72.0,50.0,0.0,Neutral,0.0,0.0,Unknown,96,PARK_ONLY_FALLBACK,67.3818,48.6693,68.6096,78.4539,72.7222,75.5027,79.2523,75.382,80.0,80.0,4.01,3.63,4.1691,3.79,1.35,1.21,18.2186,26.3852,8.502,7.9156,1.1455,1.3745,4.7838,4.3604,0.724,0.728,103.64,104.68,8.7482,7.9935,38.1397,36.846,3.2,1.8,4.3,2.9,4.5333,3.6667,5-5,7-3,5,9,56.3673,53.5948,55.4138,55.1253,,,UNAVAILABLE,-110|-110|-110|-110|8,Stronger offensive profile|Meaningful model-to-market edge,5-5 last 10|+5 run differential|4.8 runs/game,7-3 last 10|+9 run differential|4.4 runs/game
TEAM_LINES_V1,2026-08-02T14:11:26-07:00,824483,2026-08-02,10:40 AM,2026-08-02T17:40:00Z,Game Over,1,N,Great American Ball Park,PIT,Pittsburgh Pirates,CIN,Cincinnati Reds,56-57,53-58,656605,Mitch Keller,695505,Chase Burns,MLB_PROBABLE_PITCHER,MLB_PROBABLE_PITCHER,CIN MONEYLINE,CIN MONEYLINE,ML,CIN,-110.0,-110,-110,-180.0,-180.0,64.308,64.308,14.308,14.308,22.7698,5.0,99.0,STRONG,92.1429,87.1203,MODEL_FALLBACK,-110,-110,180,-180,35.692,64.308,-14.308,14.308,1.5,-1.5,-130,110,20.044,45.426,-1.5,45.426,8.5,8.9154,53.82,46.18,0.0,3.82,-3.82,3.8664,5.049,1.1826,11.916,5-3:3.5%|4-3:3.5%|5-4:3.4%|4-4:3.4%|6-3:3.0%,1.9439,2.8226,4.5,56.576,26.028,56.576,51.82,48.18,72.0,50.0,0.0,Neutral,0.0,0.0,Unknown,107,PARK_ONLY_FALLBACK,60.6305,47.6408,57.3104,94.8266,71.7813,68.827,75.3912,79.2973,80.0,80.0,5.29,2.35,4.9058,2.8235,1.37,1.1,17.6938,28.7212,8.3499,9.0147,1.1671,0.986,5.115,4.1622,0.751,0.708,110.66,99.48,8.4135,8.7044,37.5661,38.0646,4.0,2.6,3.3,2.9,3.3333,3.3333,3-7,5-5,-13,-8,68.8099,63.359,63.3322,65.1671,,,UNAVAILABLE,-110|-110|-110|-110|-180,Starting pitcher edge|Better recent run differential|Home-field advantage|Meaningful model-to-market edge,3-7 last 10|-13 run differential|5.1 runs/game,5-5 last 10|-8 run differential|4.2 runs/game
TEAM_LINES_V1,2026-08-02T14:11:27-07:00,823919,2026-08-02,4:20 PM,2026-08-02T23:20:00Z,Pre-Game,1,N,UNIQLO Field at Dodger Stadium,BOS,Boston Red Sox,LAD,Los Angeles Dodgers,59-51,69-42,687562,Jake Bennett,686218,Emmet Sheehan,MLB_PROBABLE_PITCHER,MLB_PROBABLE_PITCHER,BOS MONEYLINE,BOS MONEYLINE,ML,BOS,-110.0,-110,-110,-176.0,-176.0,63.708,36.292,13.708,13.708,21.6244,5.0,99.0,STRONG,92.1429,92.3706,MODEL_FALLBACK,-110,-110,-176,176,63.708,36.292,13.708,-13.708,1.5,-1.5,-130,110,43.84,18.994,-1.5,18.994,8.5,7.84,40.05,59.95,0.0,-9.95,9.95,4.4611,3.3789,-1.0822,12.946,3-4:4.2%|3-3:3.7%|3-5:3.7%|2-4:3.7%|4-4:3.5%,2.442,1.7062,4.5,26.558,54.068,54.068,40.068,59.932,72.0,50.0,0.0,Neutral,0.0,0.0,Unknown,101,PARK_ONLY_FALLBACK,66.3068,71.479,93.3609,65.0693,76.6365,76.5496,83.2364,89.1532,80.0,80.0,2.74,4.95,2.9881,4.6481,0.97,1.25,17.9688,26.2626,4.2969,7.3232,0.6853,1.6511,4.2364,5.1171,0.709,0.774,99.74,116.64,8.1954,8.7752,37.1921,38.186,4.8,4.4,4.0,4.4,4.4,4.1333,7-3,6-4,11,2,32.897,36.1792,36.0866,35.0543,,,UNAVAILABLE,-110|-110|-110|-110|-176,Starting pitcher edge|Better recent run differential|Meaningful model-to-market edge,7-3 last 10|+11 run differential|4.2 runs/game,6-4 last 10|+2 run differential|5.1 runs/game
TEAM_LINES_V1,2026-08-02T14:11:26-07:00,824163,2026-08-02,11:10 AM,2026-08-02T18:10:00Z,Game Over,1,N,Daikin Park,TEX,Texas Rangers,HOU,Houston Astros,55-57,58-55,677958,Kumar Rocker,663567,Peter Lambert,MLB_PROBABLE_PITCHER,MLB_PROBABLE_PITCHER,HOU MONEYLINE,HOU MONEYLINE,ML,HOU,-110.0,-110,-110,-172.0,-172.0,63.206,63.206,13.206,13.206,20.666,5.0,99.0,STRONG,92.1429,94.2487,MODEL_FALLBACK,-110,-110,172,-172,36.794,63.206,-13.206,13.206,1.5,-1.5,-130,110,20.414,44.114,-1.5,44.114,8.5,8.6301,50.178,49.822,0.0,0.178,-0.178,3.7692,4.8609,1.0917,12.362,4-3:3.7%|5-3:3.6%|4-4:3.5%|5-4:3.4%|3-3:3.1%,1.9461,2.624,4.5,53.022,28.574,53.022,47.996,52.004,72.0,50.0,0.0,Neutral,0.0,0.0,Unknown,99,PARK_ONLY_FALLBACK,55.6901,86.5708,70.1213,85.8009,71.8149,68.5196,85.3911,85.3646,80.0,80.0,4.08,3.06,4.1257,3.3301,1.33,1.13,21.1663,24.0535,8.6393,9.1314,1.1667,0.911,4.1518,4.6726,0.72,0.739,102.6,107.54,8.393,8.8245,37.5309,38.2707,2.4,6.4,3.7,5.8,4.2,5.1333,4-6,9-1,-4,19,65.0876,67.9041,66.562,66.5179,,,UNAVAILABLE,-110|-110|-110|-110|-172,Starting pitcher edge|Stronger offensive profile|Better recent run differential|Higher team OPS|Better adjusted run creation|Home-field advantage|Meaningful model-to-market edge,4-6 last 10|-4 run differential|4.2 runs/game,9-1 last 10|+19 run differential|4.7 runs/game
TEAM_LINES_V1,2026-08-02T14:11:25-07:00,822783,2026-08-02,10:37 AM,2026-08-02T17:37:00Z,Final,1,N,Rogers Centre,STL,St. Louis Cardinals,TOR,Toronto Blue Jays,55-57,52-60,669461,Matthew Liberatore,453286,Max Scherzer,MLB_PROBABLE_PITCHER,MLB_PROBABLE_PITCHER,OVER 8.5,OVER 8.5,TOTAL,OVER,8.5,-110,-110,8.5,8.5,61.62,50.582,11.62,11.62,17.6382,4.85,99.0,STRONG,92.1429,86.4771,MODEL_FALLBACK,-110,-110,102,-102,49.418,50.582,-0.582,0.582,1.5,-1.5,-130,110,31.998,32.864,-1.5,32.864,8.5,9.5731,61.62,38.38,0.0,11.62,-11.62,4.7616,4.8115,0.0499,12.248,4-4:3.3%|5-4:3.2%|4-5:3.2%|5-5:3.0%|4-3:2.8%,2.7498,2.689,4.5,40.266,41.95,41.95,63.022,36.978,72.0,50.0,0.0,Neutral,0.0,0.0,Unknown,101,PARK_ONLY_FALLBACK,45.0,49.2057,57.4243,45.0,71.2488,72.8896,85.2125,73.3411,80.0,80.0,4.97,7.92,4.8195,7.4982,1.49,1.63,22.479,16.4286,8.6134,10.7143,1.5736,2.6413,4.3125,3.9196,0.689,0.682,94.54,92.72,7.8273,7.788,36.5612,36.4937,1.8,3.8,2.4,3.6,2.7333,2.8,2-8,6-4,-16,9,49.0911,52.7526,55.7032,52.5156,,,UNAVAILABLE,-110|-110|-110|-110|8,Starting pitcher edge|Higher team OPS|Better adjusted run creation|Meaningful model-to-market edge,2-8 last 10|-16 run differential|4.3 runs/game,6-4 last 10|+9 run differential|3.9 runs/game
TEAM_LINES_V1,2026-08-02T14:11:25-07:00,824404,2026-08-02,10:40 AM,2026-08-02T17:40:00Z,In Progress,1,N,Progressive Field,ARI,Arizona Diamondbacks,CLE,Cleveland Guardians,59-52,56-56,518876,Merrill Kelly,668909,Gavin Williams,MLB_PROBABLE_PITCHER,MLB_PROBABLE_PITCHER,CLE MONEYLINE,CLE MONEYLINE,ML,CLE,-110.0,-110,-110,-157.0,-157.0,61.102,61.102,11.102,11.102,16.6493,4.58,99.0,STRONG,92.1429,74.6589,MODEL_FALLBACK,-110,-110,157,-157,38.898,61.102,-11.102,11.102,1.5,-1.5,-130,110,22.31,42.012,-1.5,42.012,8.5,8.988,54.726,45.274,0.0,4.726,-4.726,4.041,4.9471,0.9061,12.29,4-4:3.5%|4-3:3.4%|5-4:3.4%|5-3:3.4%|6-4:2.8%,2.0791,2.8264,4.5,54.256,28.082,54.256,54.292,45.708,72.0,50.0,0.0,Neutral,0.0,0.0,Unknown,99,PARK_ONLY_FALLBACK,85.7812,49.0819,49.1199,86.9925,70.4872,75.5378,87.325,79.3894,80.0,80.0,5.04,3.56,5.3337,3.5081,1.49,1.04,15.261,32.3049,9.2369,7.078,1.8105,1.3597,4.5357,3.9027,0.705,0.681,98.7,92.46,8.2209,7.8937,37.2359,36.6749,5.8,4.2,5.2,2.5,5.8667,3.3333,6-4,2-8,10,-17,65.6467,55.5421,54.3484,58.5124,,,UNAVAILABLE,-110|-110|-110|-110|-157,Starting pitcher edge|Bullpen advantage|Home-field advantage|Meaningful model-to-market edge,6-4 last 10|+10 run differential|4.5 runs/game,2-8 last 10|-17 run differential|3.9 runs/game
